THRESHOLD,VOL_SCALE_WEIGHTS,SECTOR_CAP_PCT,MAX_POSITIONS,REBALANCE_EVERY,TRAIN_WINDOW_DAYS,COST_BPS,EXCLUDE_TICKERS,days,sharpe,mean_daily_ret_%,vol_daily_%,max_drawdown_%,avg_turnover_%,avg_n_longs,avg_hit_rate_%,overall_ret_%
0.6,True,0.35,40,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.23052550709512043,0.008712571652524,0.6001986376683137,-13.798177826015943,7.915986824868224,1.1687211093990755,53.17436866201698,9.378098589318196
0.6,True,1.0,40,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.22936155912100473,0.008668332172839065,0.6001814130724349,-13.798177826015943,7.9284866921791615,1.1687211093990755,53.17436866201698,9.31545572050787
0.5,True,0.25,80,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.22590103284012075,0.010711455356302576,0.7530050591784275,-14.58783226063525,57.64728013739892,67.85593220338983,51.32924258601717,10.77066132575688
0.5,True,0.35,80,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.22590103284012075,0.010711455356302576,0.7530050591784275,-14.58783226063525,57.64728013739892,67.85593220338983,51.32924258601717,10.77066132575688
0.5,True,1.0,80,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.22590103284012075,0.010711455356302576,0.7530050591784275,-14.58783226063525,57.64728013739892,67.85593220338983,51.32924258601717,10.77066132575688
0.6,False,0.25,40,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.22417196779163254,0.009728050134517614,0.6891474041442182,-15.23954370841989,7.149459829227332,1.1664098613251155,53.2302850326558,10.024882893381747
0.6,False,0.35,40,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.22098433238750828,0.009603723509716154,0.6901536564108679,-15.124073600936205,7.1742548277219225,1.1687211093990755,53.17436866201698,9.83774413872096
0.6,False,1.0,40,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.2198661281970829,0.009554976946498978,0.6901427713890694,-15.124073600936205,7.185811068091722,1.1687211093990755,53.17436866201698,9.768377284545714
0.5,False,0.25,80,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.21884861921617585,0.011645811249699977,0.8450717126870113,-15.753888720601866,59.14537124058161,67.85593220338983,51.32924258601717,11.065498271244877
0.5,False,0.35,80,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.21884861921617585,0.011645811249699977,0.8450717126870113,-15.753888720601866,59.14537124058161,67.85593220338983,51.32924258601717,11.065498271244877
0.5,False,1.0,80,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.21884861921617585,0.011645811249699977,0.8450717126870113,-15.753888720601866,59.14537124058161,67.85593220338983,51.32924258601717,11.065498271244877
0.6,True,0.25,80,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.20905574159183496,0.007875324490545083,0.5982379865717191,-14.371896062060015,8.1207913574219,1.4098613251155625,53.14561765189059,8.212108625348158
0.6,True,0.35,80,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.20905574159183496,0.007875324490545083,0.5982379865717191,-14.371896062060015,8.1207913574219,1.4098613251155625,53.14561765189059,8.212108625348158
0.6,True,1.0,80,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.20905574159183496,0.007875324490545083,0.5982379865717191,-14.371896062060015,8.1207913574219,1.4098613251155625,53.14561765189059,8.212108625348158
0.6,False,0.25,80,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.20793379485376898,0.00899360736933891,0.6868730435454272,-15.72098855602356,7.39991113889627,1.4098613251155625,53.14561765189059,9.003055336116228
0.6,False,0.35,80,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.20793379485376898,0.00899360736933891,0.6868730435454272,-15.72098855602356,7.39991113889627,1.4098613251155625,53.14561765189059,9.003055336116228
0.6,False,1.0,80,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.20793379485376898,0.00899360736933891,0.6868730435454272,-15.72098855602356,7.39991113889627,1.4098613251155625,53.14561765189059,9.003055336116228
0.5,False,0.25,40,1,504,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.20146789770639165,0.01181866931063895,0.9316018774262919,-22.15356438639202,80.65312819148977,38.8020030816641,51.621748353304454,10.265762637223075
0.5,False,1.0,40,1,504,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.19604493099930226,0.011590000121871006,0.9388483591622303,-23.795259433716588,80.5704299308254,38.815100154083204,51.65786171393824,9.841822191186944
0.5,False,0.25,80,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.19428681614390694,0.010389572462779733,0.8492234414238202,-17.18722662779619,59.28774089711,67.85130970724191,51.26597407031657,9.221164900410184
