date,value,series
2015-07-13,13.9,VIX
2015-07-13,2.44,US10Y
2015-07-13,0.69,US2Y
2015-07-14,13.37,VIX
2015-07-14,0.66,US2Y
2015-07-14,2.41,US10Y
2015-07-15,0.64,US2Y
2015-07-15,2.36,US10Y
2015-07-15,13.23,VIX
2015-07-16,0.67,US2Y
2015-07-16,2.36,US10Y
2015-07-16,12.11,VIX
2015-07-17,0.68,US2Y
2015-07-17,2.34,US10Y
2015-07-17,11.95,VIX
2015-07-20,0.71,US2Y
2015-07-20,2.38,US10Y
2015-07-20,12.25,VIX
2015-07-21,0.71,US2Y
2015-07-21,12.22,VIX
2015-07-21,2.35,US10Y
2015-07-22,12.12,VIX
2015-07-22,2.33,US10Y
2015-07-22,0.75,US2Y
2015-07-23,12.64,VIX
2015-07-23,2.28,US10Y
2015-07-23,0.71,US2Y
2015-07-24,2.27,US10Y
2015-07-24,0.7,US2Y
2015-07-24,13.74,VIX
2015-07-27,0.68,US2Y
2015-07-27,15.6,VIX
2015-07-27,2.23,US10Y
2015-07-28,0.69,US2Y
2015-07-28,13.44,VIX
2015-07-28,2.26,US10Y
2015-07-29,0.7,US2Y
2015-07-29,2.29,US10Y
2015-07-29,12.5,VIX
2015-07-30,2.28,US10Y
2015-07-30,12.13,VIX
2015-07-30,0.72,US2Y
2015-07-31,2.2,US10Y
2015-07-31,12.12,VIX
2015-07-31,0.67,US2Y
2015-08-03,2.16,US10Y
2015-08-03,12.56,VIX
2015-08-03,0.68,US2Y
2015-08-04,2.23,US10Y
2015-08-04,13.0,VIX
2015-08-04,0.74,US2Y
2015-08-05,12.51,VIX
2015-08-05,0.73,US2Y
2015-08-05,2.28,US10Y
2015-08-06,0.71,US2Y
2015-08-06,13.77,VIX
2015-08-06,2.23,US10Y
2015-08-07,0.73,US2Y
2015-08-07,13.39,VIX
2015-08-07,2.18,US10Y
2015-08-10,12.23,VIX
2015-08-10,2.24,US10Y
2015-08-10,0.73,US2Y
2015-08-11,2.15,US10Y
2015-08-11,0.68,US2Y
2015-08-11,13.71,VIX
2015-08-12,2.14,US10Y
2015-08-12,0.67,US2Y
2015-08-12,13.61,VIX
2015-08-13,2.19,US10Y
2015-08-13,13.49,VIX
2015-08-13,0.72,US2Y
2015-08-14,12.83,VIX
2015-08-14,0.73,US2Y
2015-08-14,2.2,US10Y
2015-08-17,13.02,VIX
2015-08-17,0.72,US2Y
2015-08-17,2.16,US10Y
2015-08-18,13.79,VIX
2015-08-18,0.74,US2Y
2015-08-18,2.2,US10Y
2015-08-19,15.25,VIX
2015-08-19,0.67,US2Y
